"","Estado","X2020.04.19","X2020.04.20","X2020.04.21","X2020.04.22","X2020.04.23","X2020.04.24","X2020.04.25","X2020.04.26","X2020.04.27","X2020.04.28","X2020.04.29","X2020.04.30","X2020.05.01","X2020.05.02","X2020.05.03","X2020.05.04","X2020.05.05","X2020.05.06","X2020.05.07","X2020.05.08","X2020.05.09","X2020.05.10","X2020.05.11","X2020.05.12","X2020.05.13","X2020.05.14","X2020.05.15","X2020.05.16","X2020.05.17","X2020.05.18","X2020.05.19","X2020.05.20","X2020.05.21","X2020.05.22","X2020.05.23","X2020.05.24","X2020.05.25","X2020.05.26","X2020.05.27","X2020.05.28","X2020.05.29","X2020.05.30","X2020.05.31","X2020.06.01","X2020.06.02","X2020.06.03","X2020.06.04","X2020.06.05","X2020.06.06","X2020.06.07","X2020.06.08","X2020.06.09","X2020.06.10","X2020.06.11","X2020.06.12","X2020.06.13","X2020.06.14","X2020.06.15","X2020.06.16","X2020.06.17","X2020.06.18","X2020.06.19","X2020.06.20","X2020.06.21","X2020.06.22","X2020.06.23","X2020.06.24","X2020.06.25","X2020.06.26","X2020.06.27","X2020.06.28","X2020.06.29","X2020.06.30","X2020.07.01","X2020.07.02","X2020.07.03","X2020.07.04","X2020.07.05","X2020.07.06","X2020.07.07","X2020.07.08","X2020.07.09","X2020.07.10","X2020.07.11","X2020.07.12","X2020.07.13","X2020.07.14","X2020.07.15","X2020.07.16","X2020.07.17","X2020.07.18","X2020.07.19","X2020.07.20","X2020.07.21","X2020.07.22","X2020.07.23","X2020.07.24","X2020.07.25","X2020.07.26","X2020.07.27","X2020.07.28","X2020.07.29","X2020.07.30","X2020.07.31","X2020.08.01","X2020.08.02","X2020.08.03","X2020.08.04","X2020.08.05","X2020.08.06","X2020.08.07","X2020.08.08","X2020.08.09","X2020.08.10","X2020.08.11","X2020.08.12","X2020.08.13","X2020.08.14","X2020.08.15","X2020.08.16","X2020.08.17","X2020.08.18","X2020.08.19","X2020.08.20","X2020.08.21","X2020.08.22","X2020.08.23","X2020.08.24","X2020.08.25","X2020.08.26","X2020.08.27","X2020.08.28","X2020.08.29","X2020.08.30","X2020.08.31","X2020.09.01","X2020.09.02","X2020.09.03","X2020.09.04","X2020.09.05","X2020.09.06","X2020.09.07","X2020.09.08","X2020.09.09","X2020.09.10","X2020.09.11","X2020.09.12","X2020.09.13","X2020.09.14","X2020.09.15","X2020.09.16","X2020.09.17","X2020.09.18","X2020.09.19","X2020.09.20","X2020.09.21","X2020.09.22","X2020.09.23","X2020.09.24","X2020.09.25","X2020.09.26","X2020.09.27","X2020.09.28","X2020.09.29","X2020.09.30","X2020.10.01","X2020.10.02","X2020.10.03","X2020.10.04","X2020.10.05","X2020.10.06","X2020.10.07","X2020.10.08","X2020.10.09","X2020.10.10","X2020.10.11","X2020.10.12","X2020.10.13","X2020.10.14","X2020.10.15","X2020.10.16","X2020.10.17","X2020.10.18","X2020.10.19","X2020.10.20","X2020.10.21","X2020.10.22","X2020.10.23","X2020.10.24","X2020.10.25","X2020.10.26","X2020.10.27","X2020.10.28","X2020.10.29","X2020.10.30","X2020.10.31","X2020.11.01","X2020.11.02","X2020.11.03","X2020.11.04","X2020.11.05","X2020.11.06","X2020.11.07","X2020.11.08","X2020.11.09","X2020.11.10","X2020.11.11","X2020.11.12","X2020.11.13","X2020.11.14","X2020.11.15","X2020.11.16","X2020.11.17","X2020.11.18","X2020.11.19","X2020.11.20","X2020.11.21","X2020.11.22","X2020.11.23","X2020.11.24","X2020.11.25","X2020.11.26","X2020.11.27","X2020.11.28","X2020.11.29","X2020.11.30","X2020.12.01","X2020.12.02","X2020.12.03","X2020.12.04","X2020.12.05","X2020.12.06","X2020.12.07","X2020.12.08","X2020.12.09","X2020.12.10","X2020.12.11","X2020.12.12","X2020.12.13","X2020.12.14","X2020.12.15","X2020.12.16","X2020.12.17","X2020.12.18","X2020.12.19","X2020.12.20","X2020.12.21","X2020.12.22","X2020.12.23","X2020.12.24","X2020.12.25","X2020.12.26","X2020.12.27","X2020.12.28","X2020.12.29","X2020.12.30","X2020.12.31"
"1","AGUASCALIENTES",55,56,59,63,65,69,74,80,85,93,99,106,116,131,136,153,159,169,184,195,201,211,236,247,256,273,282,298,311,319,340,350,362,366,370,385,415,422,440,464,483,494,505,522,540,563,590,614,628,647,681,717,740,777,798,821,850,918,972,997,1026,1076,1118,1152,1206,1247,1305,1330,1352,1384,1429,1490,1532,1576,1627,1652,1692,1725,1776,1804,1839,1868,1891,1935,1975,2022,2070,2125,2166,2195,2224,2274,2343,2403,2452,2500,2552,2601,2652,2711,2769,2821,2848,2898,2937,2983,3021,3060,3095,3137,3176,3212,3242,3287,3323,3366,3397,3422,3469,3488,3526,3559,3579,3596,3616,3651,3685,3732,3762,3798,3820,3877,3931,3970,4029,4037,4072,4107,4142,4177,4216,4264,4305,4338,4384,4415,4450,4495,4549,4582,4615,4648,4664,4698,4721,4762,4794,4826,4857,4878,4907,4922,4974,5000,5025,5074,5100,5129,5186,5234,5270,5316,5361,5412,5454,5493,5556,5616,5666,5710,5765,5810,5862,5920,5980,6030,6101,6158,6218,6264,6338,6408,6471,6547,6622,6673,6720,6824,6918,7007,7085,7184,7333,7422,7557,7657,7790,7881,7964,8037,8096,8179,8262,8309,8340,8361,8401,8501,8716,8914,9141,9305,9420,9500,9612,9758,9938,10085,10252,10447,10571,10701,10899,11023,11086,11187,11298,11391,11510,11654,11764,11856,11922,12027,12093,12161,12231,12297,12353,12428,12503,12551,12618,12700,12763,12849,12909
"2","BAJA CALIFORNIA",270,291,335,368,415,485,533,582,609,655,682,714,743,765,800,829,852,908,944,989,1037,1077,1110,1141,1181,1223,1310,1361,1404,1449,1512,1556,1598,1674,1719,1771,1827,1889,1962,2020,2132,2207,2271,2368,2464,2532,2570,2678,2775,2843,2918,2995,3067,3162,3227,3275,3336,3442,3493,3566,3630,3724,3798,3869,3988,4080,4150,4230,4369,4469,4548,4655,4751,4893,4993,5100,5245,5320,5419,5541,5632,5781,5886,5998,6068,6169,6278,6452,6513,6698,6776,6764,6910,6990,7054,7169,7243,7336,7401,7498,7572,7651,7738,7825,7908,7980,8088,8152,8228,8320,8395,8501,8555,8681,8746,8817,8910,8999,9083,9143,9240,9325,9400,9442,9515,9595,9675,9753,9820,9875,9947,10043,10129,10213,10315,10392,10483,10551,10631,10712,10789,10894,10952,11021,11110,11217,11299,11384,11496,11574,11636,11683,11742,11777,11808,11834,11889,11934,11986,12032,12120,12151,12175,12245,12338,12431,12474,12549,12617,12667,12728,12789,12846,12940,12999,13048,13108,13178,13267,13334,13390,13447,13497,13557,13619,13671,13740,13814,13881,13945,14028,14096,14161,14242,14327,14408,14463,14536,14651,14739,14822,14897,14982,15042,15088,15152,15253,15315,15384,15453,15542,15594,15622,15693,15739,15800,15845,15879,15939,16113,16213,16291,16404,16496,16600,16730,16867,17006,17152,17316,17436,17620,17779,17907,18091,18261,18398,18576,18730,18920,19139,19299,19474,19636,19808,19925,20093,20338,20522,20751,20949,21047,21148,21371,21592,21809,22036
"3","BAJA CALIFORNIA SUR",141,155,166,172,176,185,196,204,211,217,223,228,239,247,250,259,260,268,272,279,283,287,292,292,298,305,319,324,330,334,345,348,353,358,360,368,371,380,389,399,405,410,424,438,447,464,474,485,498,514,526,542,553,567,584,597,606,631,663,689,715,731,764,794,831,863,893,920,931,960,979,1021,1049,1079,1118,1147,1184,1213,1247,1282,1327,1406,1452,1485,1529,1588,1668,1743,1791,1851,1948,2006,2112,2194,2281,2354,2451,2525,2616,2708,2787,2861,2933,3003,3085,3174,3266,3355,3443,3510,3601,3695,3817,4010,4111,4185,4275,4358,4466,4575,4670,4772,4865,4963,5040,5110,5200,5325,5421,5507,5589,5660,5730,5829,5925,6015,6064,6148,6205,6259,6366,6464,6575,6674,6729,6799,6898,6996,7110,7219,7304,7393,7455,7527,7627,7723,7816,7873,7956,8037,8077,8147,8233,8304,8352,8450,8520,8577,8660,8728,8811,8883,8949,9011,9058,9142,9223,9285,9352,9422,9461,9519,9586,9658,9718,9770,9849,9916,9982,10067,10172,10259,10321,10391,10473,10534,10624,10697,10784,10850,10918,10980,11069,11151,11233,11300,11356,11409,11454,11492,11577,11640,11707,11752,11772,11791,11848,11908,11977,12066,12109,12152,12187,12226,12296,12371,12436,12492,12590,12677,12734,12818,12896,12978,13062,13157,13218,13279,13380,13456,13564,13631,13708,13781,13843,13932,14028,14115,14173,14283,14380,14461,14577,14694,14820,14906,15003
"4","CAMPECHE",21,28,31,33,35,38,44,45,49,50,56,59,63,67,70,73,74,82,86,93,101,103,109,111,119,126,145,153,163,176,188,195,201,214,225,246,265,285,290,303,311,330,344,357,368,389,405,419,440,453,484,495,508,525,542,562,575,601,624,653,673,712,746,797,849,883,942,995,1050,1116,1171,1244,1298,1343,1418,1468,1550,1605,1655,1698,1740,1806,1862,1896,1935,1979,2022,2087,2148,2202,2252,2309,2355,2398,2435,2481,2572,2673,2723,2769,2812,2901,2945,2963,3018,3064,3119,3147,3179,3210,3246,3285,3308,3351,3384,3406,3429,3439,3486,3503,3520,3530,3543,3552,3560,3586,3603,3626,3642,3663,3678,3696,3729,3750,3768,3789,3808,3840,3859,3874,3885,3897,3914,3927,3942,3949,3958,3973,3984,4004,4013,4017,4025,4033,4037,4045,4052,4063,4084,4093,4096,4103,4111,4125,4134,4137,4149,4160,4185,4192,4202,4209,4215,4232,4234,4242,4254,4262,4266,4277,4287,4302,4308,4317,4320,4326,4335,4349,4353,4360,4374,4384,4388,4398,4405,4408,4419,4438,4453,4462,4474,4485,4494,4503,4508,4516,4525,4534,4542,4546,4550,4554,4559,4567,4577,4591,4595,4606,4617,4628,4639,4644,4652,4659,4675,4680,4694,4703,4712,4728,4739,4749,4766,4778,4792,4805,4811,4828,4835,4852,4876,4887,4896,4908,4919,4925,4946,4965,4979,5000,5010,5031,5036,5046,5069,5077,5089
"5","CHIAPAS",31,32,37,40,40,42,45,47,51,53,60,70,74,78,82,94,97,107,117,123,132,140,150,161,166,180,199,216,231,252,275,290,308,339,378,411,452,499,552,588,640,696,730,804,856,925,986,1050,1162,1235,1338,1420,1487,1580,1670,1739,1799,1865,1907,1948,2013,2095,2165,2240,2314,2357,2390,2435,2485,2536,2577,2618,2671,2700,2726,2756,2824,2862,2904,2939,2963,2990,3024,3038,3051,3066,3083,3094,3114,3137,3149,3182,3194,3209,3218,3229,3249,3254,3263,3279,3288,3301,3313,3324,3333,3336,3347,3359,3366,3377,3391,3398,3408,3411,3411,3424,3440,3455,3477,3490,3502,3513,3525,3544,3552,3567,3577,3582,3589,3597,3609,3623,3651,3664,3673,3677,3682,3693,3703,3710,3711,3713,3720,3725,3732,3742,3747,3751,3759,3760,3766,3784,3790,3795,3798,3812,3817,3821,3831,3839,3846,3849,3854,3862,3868,3878,3885,3891,3897,3904,3907,3912,3916,3932,3937,3941,3946,3947,3954,3959,3971,3979,3980,3981,3985,3994,3998,4003,4011,4012,4015,4018,4023,4026,4033,4037,4039,4045,4047,4053,4058,4060,4065,4065,4065,4067,4069,4069,4071,4075,4079,4080,4080,4086,4088,4093,4103,4110,4116,4125,4132,4137,4141,4157,4164,4175,4180,4189,4193,4206,4211,4215,4218,4221,4224,4238,4251,4265,4275,4282,4303,4307,4320,4327,4344,4357,4383,4390,4398,4416,4426,4440,4448,4471,4486,4505,4525
"6","CHIHUAHUA",18,21,25,27,28,31,34,38,38,44,51,54,65,80,94,110,122,137,148,164,174,184,196,214,229,245,284,304,319,328,343,360,389,401,412,431,440,473,498,517,562,603,631,656,704,735,754,781,792,808,825,844,920,952,972,1013,1032,1049,1065,1080,1092,1113,1142,1163,1182,1208,1255,1309,1357,1372,1401,1453,1487,1505,1547,1576,1650,1678,1695,1724,1763,1803,1870,1903,1934,1968,2059,2140,2194,2231,2267,2294,2329,2411,2467,2544,2626,2694,2728,2754,2858,2905,2949,3014,3076,3105,3133,3206,3294,3314,3386,3500,3614,3699,3740,3828,3894,3937,4009,4050,4065,4161,4302,4353,4491,4516,4531,4549,4624,4707,4796,4827,4882,4908,4938,5013,5084,5178,5300,5374,5394,5429,5516,5643,5704,5801,5879,5913,5940,6018,6132,6167,6242,6317,6326,6390,6491,6600,6835,6995,7115,7162,7228,7330,7450,7576,7690,7811,7944,8020,8152,8231,8369,8516,8600,8676,8787,8902,8992,9177,9333,9475,9570,9718,9891,10186,10410,10662,10933,11117,11316,11637,11925,12168,12579,12843,13007,13333,13609,13916,14171,14390,14724,15036,15461,15885,16690,17011,17271,17409,17630,17917,18037,18205,18381,18684,19001,19217,19349,19559,19718,19889,20086,20241,20392,20525,20687,20875,21162,21582,21800,22241,22444,22605,22749,22886,22978,23091,23409,23516,23688,23951,24124,24284,24403,24651,24714,24807,24892,25013,25090,25146,25216,25265,25430,25555,25646
"7","CIUDAD DE MÉXICO",887,958,1034,1129,1233,1415,1530,1654,1821,1998,2213,2430,2686,2951,3185,3552,3770,4021,4353,4882,5260,5620,5948,6233,6510,6908,7463,7859,8233,8882,9414,9922,10378,11018,11772,12437,13046,13661,14232,14970,15755,16326,16914,17733,18465,19514,20150,20895,21450,21971,22795,23596,24341,25140,26074,26685,27248,28259,28917,29605,30564,31395,32232,32713,33372,34006,34817,35461,36235,36970,37387,38147,38680,39168,39826,40807,41705,42153,42733,43364,44303,45021,45885,46594,47204,47870,48907,49814,50472,51405,52065,52729,53379,54397,55100,56047,57321,57937,58537,59389,60113,61130,61868,62780,63592,64209,65391,66304,67211,68017,68811,69638,70251,71155,71907,72650,73501,74297,75465,76043,76849,77668,78509,79273,80148,80845,81338,82376,83217,84031,84754,85594,86579,87254,88200,89368,90083,91458,92699,93605,94265,95229,96287,97220,98294,99685,100503,101268,102235,103706,104782,105603,106579,107568,108133,108950,109958,110926,112252,113043,113827,114348,115188,116138,116806,117693,118745,119645,120725,121730,122655,123502,124349,125636,126431,127085,127971,128890,129772,130945,131985,132755,133418,134468,135413,136505,137510,138562,139963,140725,141831,142950,144040,145266,146557,147628,148558,149867,151309,152234,153388,154378,155608,157150,158400,159881,161601,163214,164694,165927,166976,167637,168644,169869,171232,172268,173360,174193,175349,177314,179163,180912,182213,183143,184203,185170,186705,188330,190192,192397,194169,195548,196798,198748,200498,201773,203643,205122,206284,207393,208930,209937,210955,212345,213353,214154,215317,216754,218005,219381,220650,221882,222773,224276,225706,226875,227813
"8","COAHUILA",159,171,182,190,195,199,209,215,225,236,241,257,271,291,294,308,318,312,323,335,343,357,366,377,391,408,433,447,455,464,487,506,521,541,557,573,595,622,636,649,677,705,732,764,788,844,880,912,960,998,1041,1092,1126,1192,1266,1303,1339,1440,1513,1574,1634,1708,1810,1876,1984,2108,2191,2277,2363,2454,2610,2758,2970,3251,3447,3614,3786,3990,4234,4408,4612,4768,5015,5186,5235,5469,5707,5925,6138,6358,6553,6690,6966,7335,7544,7738,8095,8292,8496,8762,8984,9239,9421,9673,9940,10109,10426,10626,10787,11066,11256,11671,11840,12176,12386,12694,12858,13045,13396,13688,13903,14133,14446,14680,14989,15186,15374,15677,15885,16108,16398,16636,16897,17061,17257,17513,17731,17997,18183,18376,18539,18768,18967,19096,19210,19344,19477,19579,19733,19871,20016,20133,20236,20356,20467,20569,20670,20763,20862,20937,21002,21084,21213,21325,21416,21515,21635,21777,21932,22045,22141,22275,22434,22590,22714,22872,23051,23201,23390,23581,23728,23908,24077,24289,24450,24619,24800,25014,25252,25418,25616,25808,25998,26235,26461,26645,26895,27179,27543,27771,27989,28187,28351,28574,28797,28994,29191,29359,29557,29691,29971,30183,30345,30478,30652,30820,30944,31136,31392,31638,31899,32057,32278,32508,32727,32889,33083,33245,33454,33741,33878,34018,34219,34393,34583,34816,34977,35130,35265,35466,35705,35820,36003,36200,36370,36519,36683,36863,37054,37377,37555,37723,37904,38122,38346,38491,38712
"9","COLIMA",4,4,4,4,4,4,4,5,5,5,6,6,8,9,9,10,11,11,11,11,11,11,11,11,12,13,13,13,13,14,14,16,16,19,20,21,26,29,33,34,36,41,45,48,48,50,51,56,60,63,67,68,68,74,77,83,91,100,105,108,111,121,130,142,154,161,165,175,185,192,199,211,223,228,240,257,268,279,290,297,313,320,343,368,382,399,412,429,446,467,484,509,542,571,589,605,644,671,706,753,790,814,850,894,949,997,1055,1090,1125,1152,1193,1241,1283,1326,1359,1370,1393,1446,1502,1555,1603,1659,1689,1728,1782,1828,1907,1975,2003,2036,2075,2135,2198,2247,2302,2350,2381,2423,2483,2546,2586,2629,2668,2705,2731,2772,2804,2819,2850,2870,2879,2900,2923,2949,2971,3003,3020,3035,3056,3084,3109,3135,3180,3214,3231,3265,3308,3353,3399,3452,3484,3505,3537,3590,3647,3692,3753,3787,3813,3852,3896,3937,3970,4020,4057,4096,4131,4171,4211,4247,4290,4320,4344,4385,4421,4438,4464,4495,4522,4548,4574,4608,4638,4667,4693,4713,4738,4750,4763,4782,4808,4827,4838,4847,4856,4869,4887,4901,4918,4933,4939,4953,4974,4992,5012,5031,5077,5087,5108,5126,5142,5158,5176,5192,5206,5219,5234,5251,5268,5293,5313,5324,5344,5355,5367,5379,5399,5421,5439,5452,5467,5483,5498,5513,5536,5547,5569
"10","DURANGO",10,10,9,9,9,13,16,17,19,23,23,24,24,25,26,31,33,38,40,45,47,54,55,60,60,62,67,70,70,74,79,83,93,99,105,107,114,120,125,127,134,144,146,156,169,182,189,202,215,227,241,260,282,314,346,378,405,467,488,525,573,631,674,715,759,799,858,911,943,989,1047,1088,1122,1173,1206,1256,1304,1341,1420,1498,1557,1599,1663,1722,1789,1859,1904,1965,1996,2029,2066,2107,2183,2239,2284,2339,2421,2470,2503,2556,2628,2710,2754,2804,2875,2932,3050,3134,3177,3218,3281,3341,3405,3466,3535,3582,3641,3696,3758,3827,3909,3961,4017,4045,4101,4172,4235,4332,4409,4476,4506,4564,4622,4672,4757,4848,4912,5007,5068,5119,5193,5264,5348,5448,5517,5591,5666,5762,5880,5987,6061,6112,6199,6265,6341,6400,6488,6536,6584,6652,6710,6749,6815,6886,6948,7022,7095,7167,7266,7342,7412,7497,7541,7626,7693,7755,7882,7943,8028,8129,8256,8359,8475,8661,8801,8949,9078,9234,9467,9587,9814,9999,10157,10333,10495,10662,10890,11162,11485,11707,11908,12132,12311,12554,12841,13073,13278,13444,13689,13882,14116,14357,14512,14708,14808,14938,15049,15225,15413,15693,15975,16284,16412,16568,16780,17020,17274,17518,17654,17900,18027,18205,18380,18572,18742,18867,19039,19223,19369,19576,19721,19896,19986,20072,20158,20238,20361,20555,20703,20790,20874,20949,21027,21142,21254,21369,21436
